Gene_Name,Drug_ID,Indication_Name,Phase
ABAT,CHEMBL89598,infantile spasms,APPROVAL
ABAT,CHEMBL89598,complex partial epilepsy,APPROVAL
ABAT,CHEMBL89598,Focal impaired awareness seizure,APPROVAL
ABAT,CHEMBL89598,epilepsy,APPROVAL
ABAT,CHEMBL89598,developmental and epileptic encephalopathy,APPROVAL
ABAT,CHEMBL89598,partial epilepsy,APPROVAL
ABAT,CHEMBL89598,Tourette syndrome,PHASE_1_2
ABAT,CHEMBL89598,methamphetamine dependence,PHASE_2
ABAT,CHEMBL89598,alcohol dependence,PHASE_2
ABAT,CHEMBL89598,cocaine dependence,PHASE_2_3
ABAT,CHEMBL89598,tuberous sclerosis,PHASE_2_3
ABCA1,CHEMBL608,cardiovascular disease,APPROVAL
ABCA1,CHEMBL608,coronary artery disease,APPROVAL
ABCA1,CHEMBL608,peripheral arterial disease,PHASE_2
ABCA1,CHEMBL608,diabetic nephropathy,PHASE_2
ABCA1,CHEMBL608,hyperlipidemia,PHASE_3
ABCB1,CHEMBL348475,neuropathic pain,PHASE_1_2
ABCB1,CHEMBL1086218,breast cancer,PHASE_2
ABCB1,CHEMBL348475,adrenal cortex carcinoma,PHASE_2
ABCB1,CHEMBL350775,ovarian cancer,PHASE_2
ABCB1,CHEMBL1086218,acute myeloid leukemia by FAB classification,PHASE_3
ABCB1,CHEMBL348475,non-small cell lung carcinoma,PHASE_3
ABCB1,CHEMBL4594298,neoplasm,UNKNOWN
ABCC1,CHEMBL350775,ovarian cancer,PHASE_2
ABCC8,CHEMBL1481,type 2 diabetes mellitus,APPROVAL
ABCC8,CHEMBL1481,diabetes mellitus,APPROVAL
ABCC8,CHEMBL472,type 2 diabetes mellitus,APPROVAL
ABCC8,CHEMBL472,diabetes mellitus,APPROVAL
ABCC8,CHEMBL1073,type 2 diabetes mellitus,APPROVAL
ABCC8,CHEMBL1073,diabetes mellitus,APPROVAL
ABCC8,CHEMBL1272,type 2 diabetes mellitus,APPROVAL
ABCC8,CHEMBL1272,diabetes mellitus,APPROVAL
ABCC8,CHEMBL4298005,type 2 diabetes mellitus,APPROVAL
ABCC8,CHEMBL782,type 2 diabetes mellitus,APPROVAL
ABCC8,CHEMBL782,diabetes mellitus,APPROVAL
ABCC8,CHEMBL783,type 2 diabetes mellitus,APPROVAL
ABCC8,CHEMBL783,diabetes mellitus,APPROVAL
ABCC8,CHEMBL817,type 2 diabetes mellitus,APPROVAL
ABCC8,CHEMBL817,diabetes mellitus,APPROVAL
ABCC8,CHEMBL498,diabetes mellitus,APPROVAL
ABCC8,CHEMBL498,type 2 diabetes mellitus,APPROVAL
ABCC8,CHEMBL427216,diabetes mellitus,APPROVAL
ABCC8,CHEMBL1589,diabetes mellitus,APPROVAL
