Gene_Name,Drug_ID,Indication_Name,Phase
ABCC8,CHEMBL471498,diabetes mellitus,APPROVAL
ABCC8,CHEMBL472,angina pectoris,PHASE_1
ABCC8,CHEMBL1272,Parkinson disease,PHASE_1
ABCC8,CHEMBL1272,gastrointestinal stromal tumor,PHASE_1
ABCC8,CHEMBL1272,prostate cancer,PHASE_1
ABCC8,CHEMBL1272,sickle cell disease,PHASE_1
ABCC8,CHEMBL782,serum lipopolysaccharide activity,PHASE_1
ABCC8,CHEMBL782,Chronic pain,PHASE_1
ABCC8,CHEMBL782,lymphoma,PHASE_1
ABCC8,CHEMBL782,cancer,PHASE_1
ABCC8,CHEMBL427216,epilepsy,PHASE_1
ABCC8,CHEMBL472,spinal cord injury,PHASE_1_2
ABCC8,CHEMBL472,brain injury,PHASE_2
ABCC8,CHEMBL472,Ischemic stroke,PHASE_2
ABCC8,CHEMBL427216,thrombotic disease,PHASE_2
ABCC8,CHEMBL1481,MODY,PHASE_2_3
ABCC8,CHEMBL472,type 1 diabetes mellitus,PHASE_2_3
ABCC8,CHEMBL472,stroke,PHASE_3
ABCC8,CHEMBL472,gestational diabetes,PHASE_3
ABCC8,CHEMBL1073,atherosclerosis,PHASE_3
ABCC8,CHEMBL1272,cystic fibrosis,PHASE_3
ABCC8,CHEMBL427216,type 2 diabetes mellitus,PHASE_3
ABCC8,CHEMBL1589,cataract,PHASE_3
ABCC8,CHEMBL471498,type 2 diabetes mellitus,PHASE_3
ABCC8,CHEMBL472,intracerebral hemorrhage,UNKNOWN
ABCC9,CHEMBL802,hypotrichosis,APPROVAL
ABCC9,CHEMBL802,hypertension,APPROVAL
ABCC9,CHEMBL1200338,hypertension,APPROVAL
ABCC9,CHEMBL802,acne,PHASE_1_2
ABCC9,CHEMBL802,Williams syndrome,PHASE_2
ABCC9,CHEMBL802,ovarian cancer,PHASE_2
ABCC9,CHEMBL802,androgenetic alopecia,PHASE_3
ABCC9,CHEMBL802,alopecia,PHASE_3
ABCD1,CHEMBL4594333,X-linked adrenoleukodystrophy,APPROVAL
ABL1,CHEMBL5416410,acute lymphoblastic leukemia,APPROVAL
ABL1,CHEMBL5416410,chronic myelogenous leukemia,APPROVAL
ABL1,CHEMBL1946170,colorectal cancer,APPROVAL
ABL1,CHEMBL1946170,metastatic colorectal cancer,APPROVAL
ABL1,CHEMBL1946170,colorectal neoplasm,APPROVAL
ABL1,CHEMBL1946170,neoplasm,APPROVAL
ABL1,CHEMBL1421,acute lymphoblastic leukemia,APPROVAL
ABL1,CHEMBL1421,chronic myelogenous leukemia,APPROVAL
ABL1,CHEMBL1421,lymphoid leukemia,APPROVAL
ABL1,CHEMBL1421,"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",APPROVAL
ABL1,CHEMBL1421,neoplasm,APPROVAL
ABL1,CHEMBL1642,chronic myelogenous leukemia,APPROVAL
ABL1,CHEMBL2105708,chronic myelogenous leukemia,APPROVAL
ABL1,CHEMBL2105708,acute lymphoblastic leukemia,APPROVAL
ABL1,CHEMBL3989869,follicular lymphoma,APPROVAL
ABL1,CHEMBL3989869,marginal zone B-cell lymphoma,APPROVAL
ABL1,CHEMBL2095206,chronic myelogenous leukemia,APPROVAL
ABL1,CHEMBL1201740,chronic myelogenous leukemia,APPROVAL
ABL1,CHEMBL1201740,"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",APPROVAL
ABL1,CHEMBL255863,chronic myelogenous leukemia,APPROVAL
ABL1,CHEMBL255863,neoplasm,APPROVAL
ABL1,CHEMBL941,chronic myelogenous leukemia,APPROVAL
ABL1,CHEMBL941,myelodysplastic/myeloproliferative disease,APPROVAL
ABL1,CHEMBL941,gastrointestinal stromal tumor,APPROVAL
ABL1,CHEMBL941,Myelodysplastic/Myeloproliferative Neoplasm,APPROVAL
ABL1,CHEMBL941,dermatofibrosarcoma protuberans,APPROVAL
ABL1,CHEMBL941,Hypereosinophilic syndrome,APPROVAL
ABL1,CHEMBL941,neoplasm,APPROVAL
ABL1,CHEMBL1171837,lymphoid leukemia,APPROVAL
ABL1,CHEMBL1171837,myeloid leukemia,APPROVAL
ABL1,CHEMBL1171837,neoplasm,APPROVAL
ABL1,CHEMBL3948730,follicular lymphoma,APPROVAL
ABL1,CHEMBL3948730,marginal zone B-cell lymphoma,APPROVAL
ABL1,CHEMBL3948730,neoplasm,APPROVAL
ABL1,CHEMBL288441,breast cancer,APPROVAL
ABL1,CHEMBL288441,myeloid leukemia,APPROVAL
ABL1,CHEMBL288441,neoplasm,APPROVAL
ABL1,CHEMBL4208229,chronic myelogenous leukemia,APPROVAL
ABL1,CHEMBL4208229,neoplasm,APPROVAL
ABL1,CHEMBL4297220,"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",APPROVAL
ABL1,CHEMBL4297220,chronic myelogenous leukemia,APPROVAL
ABL1,CHEMBL1421,endometrial cancer,EARLY_PHASE_1
ABL1,CHEMBL255863,malignant colon neoplasm,EARLY_PHASE_1
ABL1,CHEMBL941,head and neck squamous cell carcinoma,EARLY_PHASE_1
ABL1,CHEMBL941,head and neck malignant neoplasia,EARLY_PHASE_1
ABL1,CHEMBL255863,systemic mastocytosis,IND
ABL1,CHEMBL941,systemic mastocytosis,IND
ABL1,CHEMBL1946170,acute myeloid leukemia,PHASE_1
ABL1,CHEMBL1946170,Ewing sarcoma,PHASE_1
ABL1,CHEMBL1421,gliosarcoma,PHASE_1
ABL1,CHEMBL1421,malignant pleural mesothelioma,PHASE_1
ABL1,CHEMBL1421,diffuse intrinsic pontine glioma,PHASE_1
ABL1,CHEMBL1421,brain neoplasm,PHASE_1
ABL1,CHEMBL1421,idiopathic pulmonary fibrosis,PHASE_1
ABL1,CHEMBL1421,Waldenstrom macroglobulinemia,PHASE_1
ABL1,CHEMBL1642,choroidal neovascularization,PHASE_1
ABL1,CHEMBL3989869,Hodgkins lymphoma,PHASE_1
ABL1,CHEMBL1201740,breast cancer,PHASE_1
ABL1,CHEMBL255863,chordoma,PHASE_1
ABL1,CHEMBL255863,chronic graft versus host disease,PHASE_1
ABL1,CHEMBL255863,Huntington disease,PHASE_1
ABL1,CHEMBL255863,breast cancer,PHASE_1
ABL1,CHEMBL941,Thymic Carcinoma,PHASE_1
ABL1,CHEMBL941,colorectal cancer,PHASE_1
ABL1,CHEMBL941,pulmonary hypertension,PHASE_1
ABL1,CHEMBL941,acute lung injury,PHASE_1
ABL1,CHEMBL941,papillary thyroid carcinoma,PHASE_1
ABL1,CHEMBL288441,pancreatic carcinoma,PHASE_1
ABL1,CHEMBL288441,breast carcinoma,PHASE_1
ABL1,CHEMBL4208229,childhood leukemia,PHASE_1
ABL1,CHEMBL4208229,kidney disease,PHASE_1
ABL1,CHEMBL495727,neoplasm,PHASE_1
ABL1,CHEMBL495727,non-Hodgkins lymphoma,PHASE_1
ABL1,CHEMBL495727,leukemia,PHASE_1
ABL1,CHEMBL3678958,neoplasm,PHASE_1
ABL1,CHEMBL2316582,neoplasm,PHASE_1
ABL1,CHEMBL217092,neoplasm,PHASE_1
ABL1,CHEMBL217092,ovarian cancer,PHASE_1
ABL1,CHEMBL217092,alcohol dependence,PHASE_1
ABL1,CHEMBL1738757,breast cancer,PHASE_1
ABL1,CHEMBL1908397,acute myeloid leukemia by FAB classification,PHASE_1
ABL1,CHEMBL1908397,acute myeloid leukemia,PHASE_1
ABL1,CHEMBL3545085,childhood leukemia,PHASE_1
ABL1,CHEMBL3545085,acute lymphoblastic leukemia,PHASE_1
ABL1,CHEMBL3545085,chronic myelogenous leukemia,PHASE_1
ABL1,CHEMBL3545085,cancer,PHASE_1
ABL1,CHEMBL3545085,lymphoma,PHASE_1
ABL1,CHEMBL5314408,neoplasm,PHASE_1
ABL1,CHEMBL1421,non-Hodgkins lymphoma,PHASE_1_2
ABL1,CHEMBL1421,scleroderma,PHASE_1_2
ABL1,CHEMBL1421,rhabdomyosarcoma,PHASE_1_2
ABL1,CHEMBL1421,breast carcinoma,PHASE_1_2
ABL1,CHEMBL1642,Desmoid-type fibromatosis,PHASE_1_2
ABL1,CHEMBL1642,pulmonary venoocclusive disease,PHASE_1_2
ABL1,CHEMBL1642,cutaneous melanoma,PHASE_1_2
ABL1,CHEMBL1642,lymphangioleiomyomatosis,PHASE_1_2
ABL1,CHEMBL1642,sickle cell disease,PHASE_1_2
ABL1,CHEMBL941,fibrosarcoma,PHASE_1_2
ABL1,CHEMBL941,clear cell renal carcinoma,PHASE_1_2
ABL1,CHEMBL941,desmoplastic small round cell tumor,PHASE_1_2
ABL1,CHEMBL941,seasonal allergic rhinitis,PHASE_1_2
ABL1,CHEMBL941,colorectal adenocarcinoma,PHASE_1_2
ABL1,CHEMBL941,non-Hodgkins lymphoma,PHASE_1_2
ABL1,CHEMBL941,anaplastic large cell lymphoma,PHASE_1_2
ABL1,CHEMBL941,cirrhosis of liver,PHASE_1_2
ABL1,CHEMBL288441,amyotrophic lateral sclerosis,PHASE_1_2
ABL1,CHEMBL217092,pancreatic carcinoma,PHASE_1_2
ABL1,CHEMBL217092,breast cancer,PHASE_1_2
ABL1,CHEMBL4130229,chronic myelogenous leukemia,PHASE_1_2
ABL1,CHEMBL1738757,chronic myelogenous leukemia,PHASE_1_2
ABL1,CHEMBL1738757,neoplasm,PHASE_1_2
ABL1,CHEMBL5416410,multiple myeloma,PHASE_2
ABL1,CHEMBL1946170,renal cell carcinoma,PHASE_2
ABL1,CHEMBL1946170,sarcoma,PHASE_2
ABL1,CHEMBL1946170,gastric cancer,PHASE_2
ABL1,CHEMBL1946170,soft tissue sarcoma,PHASE_2
ABL1,CHEMBL1946170,angiosarcoma,PHASE_2
ABL1,CHEMBL1946170,biliary tract cancer,PHASE_2
ABL1,CHEMBL1946170,pancreatic carcinoma,PHASE_2
ABL1,CHEMBL1946170,adenoid cystic carcinoma,PHASE_2
ABL1,CHEMBL1946170,bile duct carcinoma,PHASE_2
ABL1,CHEMBL1946170,colorectal carcinoma,PHASE_2
ABL1,CHEMBL1946170,cholangiocarcinoma,PHASE_2
ABL1,CHEMBL1946170,cancer,PHASE_2
ABL1,CHEMBL1946170,rectum cancer,PHASE_2
ABL1,CHEMBL1946170,colon adenocarcinoma,PHASE_2
ABL1,CHEMBL1946170,melanoma,PHASE_2
ABL1,CHEMBL1946170,thyroid cancer,PHASE_2
ABL1,CHEMBL1946170,ovarian neoplasm,PHASE_2
ABL1,CHEMBL1946170,glioblastoma multiforme,PHASE_2
ABL1,CHEMBL1946170,osteosarcoma,PHASE_2
ABL1,CHEMBL1946170,grade III meningioma,PHASE_2
ABL1,CHEMBL1946170,intrahepatic cholangiocarcinoma,PHASE_2
ABL1,CHEMBL1421,prostate cancer,PHASE_2
ABL1,CHEMBL1421,multiple myeloma,PHASE_2
ABL1,CHEMBL1421,melanoma,PHASE_2
ABL1,CHEMBL1421,chronic lymphocytic leukemia,PHASE_2
ABL1,CHEMBL1421,non-small cell lung carcinoma,PHASE_2
ABL1,CHEMBL1421,small cell lung carcinoma,PHASE_2
ABL1,CHEMBL1421,rectum cancer,PHASE_2
ABL1,CHEMBL1421,malignant colon neoplasm,PHASE_2
ABL1,CHEMBL1421,mesothelioma,PHASE_2
ABL1,CHEMBL1421,polycythemia vera,PHASE_2
ABL1,CHEMBL1421,pancreatic carcinoma,PHASE_2
ABL1,CHEMBL1421,breast cancer,PHASE_2
ABL1,CHEMBL1421,gastrointestinal stromal tumor,PHASE_2
ABL1,CHEMBL1421,lung cancer,PHASE_2
ABL1,CHEMBL1421,cutaneous melanoma,PHASE_2
ABL1,CHEMBL1421,glioblastoma multiforme,PHASE_2
ABL1,CHEMBL1421,diffuse large B-cell lymphoma,PHASE_2
ABL1,CHEMBL1421,systemic mastocytosis,PHASE_2
ABL1,CHEMBL1421,head and neck squamous cell carcinoma,PHASE_2
ABL1,CHEMBL1421,squamous cell lung carcinoma,PHASE_2
ABL1,CHEMBL1421,metastatic melanoma,PHASE_2
ABL1,CHEMBL1421,cancer,PHASE_2
ABL1,CHEMBL1421,cholangiocarcinoma,PHASE_2
ABL1,CHEMBL1421,breast neoplasm,PHASE_2
ABL1,CHEMBL1421,chronic kidney disease,PHASE_2
ABL1,CHEMBL1421,Paraganglioma,PHASE_2
ABL1,CHEMBL1421,malignant glioma,PHASE_2
ABL1,CHEMBL1421,Alzheimer disease,PHASE_2
ABL1,CHEMBL1421,COVID-19,PHASE_2
ABL1,CHEMBL1421,metastatic prostate cancer,PHASE_2
ABL1,CHEMBL1421,aging,PHASE_2
ABL1,CHEMBL1421,HIV-1 infection,PHASE_2
ABL1,CHEMBL1421,HIV infection,PHASE_2
ABL1,CHEMBL1642,synovial sarcoma,PHASE_2
ABL1,CHEMBL1642,Central Nervous System Neoplasm,PHASE_2
ABL1,CHEMBL1642,malignant colon neoplasm,PHASE_2
ABL1,CHEMBL1642,rectum cancer,PHASE_2
ABL1,CHEMBL1642,breast cancer,PHASE_2
ABL1,CHEMBL1642,male breast carcinoma,PHASE_2
ABL1,CHEMBL1642,head and neck malignant neoplasia,PHASE_2
ABL1,CHEMBL1642,small cell lung carcinoma,PHASE_2
ABL1,CHEMBL1642,gastric cancer,PHASE_2
ABL1,CHEMBL1642,Merkel cell skin cancer,PHASE_2
ABL1,CHEMBL1642,Uterine Carcinosarcoma,PHASE_2
ABL1,CHEMBL1642,adult fibrosarcoma,PHASE_2
ABL1,CHEMBL1642,dermatofibrosarcoma protuberans,PHASE_2
ABL1,CHEMBL1642,acute lymphoblastic leukemia,PHASE_2
ABL1,CHEMBL1642,neoplasm,PHASE_2
ABL1,CHEMBL1642,pancreatic carcinoma,PHASE_2
ABL1,CHEMBL1642,acute myeloid leukemia,PHASE_2
ABL1,CHEMBL1642,Hypereosinophilic syndrome,PHASE_2
ABL1,CHEMBL1642,glioblastoma multiforme,PHASE_2
ABL1,CHEMBL1642,cancer,PHASE_2
ABL1,CHEMBL1642,gastric adenocarcinoma,PHASE_2
ABL1,CHEMBL1642,ovarian cancer,PHASE_2
ABL1,CHEMBL1642,lung cancer,PHASE_2
ABL1,CHEMBL1642,Increased total eosinophil count,PHASE_2
ABL1,CHEMBL1642,chronic myeloproliferative disorder,PHASE_2
ABL1,CHEMBL1642,kidney cancer,PHASE_2
ABL1,CHEMBL1642,non-small cell lung carcinoma,PHASE_2
ABL1,CHEMBL1642,polycythemia vera,PHASE_2
ABL1,CHEMBL1642,mesothelioma,PHASE_2
ABL1,CHEMBL1642,systemic scleroderma,PHASE_2
ABL1,CHEMBL1642,pulmonary hypertension,PHASE_2
ABL1,CHEMBL1642,non-Hodgkins lymphoma,PHASE_2
ABL1,CHEMBL1642,graft versus host disease,PHASE_2
ABL1,CHEMBL1642,asthma,PHASE_2
ABL1,CHEMBL1642,carcinoma,PHASE_2
ABL1,CHEMBL1642,scleroderma,PHASE_2
ABL1,CHEMBL1642,neurofibromatosis type 1,PHASE_2
ABL1,CHEMBL1642,type 1 diabetes mellitus,PHASE_2
ABL1,CHEMBL1642,chronic graft versus host disease,PHASE_2
ABL1,CHEMBL1642,plexiform neurofibroma,PHASE_2
ABL1,CHEMBL1642,loiasis,PHASE_2
ABL1,CHEMBL1642,multiple sclerosis,PHASE_2
ABL1,CHEMBL1642,melanoma,PHASE_2
ABL1,CHEMBL2105708,myeloid leukemia,PHASE_2
ABL1,CHEMBL2105708,liver cancer,PHASE_2
ABL1,CHEMBL2105708,cancer,PHASE_2
ABL1,CHEMBL1201740,systemic scleroderma,PHASE_2
ABL1,CHEMBL1201740,Parkinson disease,PHASE_2
ABL1,CHEMBL1201740,neoplasm,PHASE_2
ABL1,CHEMBL255863,acute lymphoblastic leukemia,PHASE_2
ABL1,CHEMBL255863,melanoma,PHASE_2
ABL1,CHEMBL255863,metastatic melanoma,PHASE_2
ABL1,CHEMBL255863,Paraganglioma,PHASE_2
ABL1,CHEMBL255863,cutaneous melanoma,PHASE_2
ABL1,CHEMBL255863,pulmonary arterial hypertension,PHASE_2
ABL1,CHEMBL255863,Vestibular schwannoma,PHASE_2
ABL1,CHEMBL255863,"tenosynovial giant cell tumor, diffuse type",PHASE_2
ABL1,CHEMBL255863,acute myeloid leukemia,PHASE_2
ABL1,CHEMBL255863,low grade glioma,PHASE_2
ABL1,CHEMBL255863,graft versus host disease,PHASE_2
ABL1,CHEMBL255863,Parkinson disease,PHASE_2
ABL1,CHEMBL255863,cerebellar ataxia,PHASE_2
ABL1,CHEMBL255863,Lewy body dementia,PHASE_2
ABL1,CHEMBL941,lung cancer,PHASE_2
ABL1,CHEMBL941,thyroid cancer,PHASE_2
ABL1,CHEMBL941,chordoma,PHASE_2
ABL1,CHEMBL941,rheumatoid arthritis,PHASE_2
ABL1,CHEMBL941,breast cancer,PHASE_2
ABL1,CHEMBL941,gastric adenocarcinoma,PHASE_2
ABL1,CHEMBL941,cancer,PHASE_2
ABL1,CHEMBL941,melanoma,PHASE_2
ABL1,CHEMBL941,systemic scleroderma,PHASE_2
ABL1,CHEMBL941,acute myeloid leukemia,PHASE_2
ABL1,CHEMBL941,metastatic melanoma,PHASE_2
ABL1,CHEMBL941,Desmoid-type fibromatosis,PHASE_2
ABL1,CHEMBL941,fibromatosis,PHASE_2
ABL1,CHEMBL941,spinal cord injury,PHASE_2
ABL1,CHEMBL941,colonic neoplasm,PHASE_2
ABL1,CHEMBL941,stomach neoplasm,PHASE_2
ABL1,CHEMBL941,tuberculosis,PHASE_2
ABL1,CHEMBL1171837,leukemia,PHASE_2
ABL1,CHEMBL1171837,thyroid neoplasm,PHASE_2
ABL1,CHEMBL1171837,gastrointestinal stromal tumor,PHASE_2
ABL1,CHEMBL1171837,small cell lung carcinoma,PHASE_2
ABL1,CHEMBL1171837,lung adenocarcinoma,PHASE_2
ABL1,CHEMBL1171837,glioblastoma multiforme,PHASE_2
ABL1,CHEMBL1171837,acute myeloid leukemia,PHASE_2
ABL1,CHEMBL1171837,medullary thyroid gland carcinoma,PHASE_2
ABL1,CHEMBL3948730,non-Hodgkins lymphoma,PHASE_2
ABL1,CHEMBL3948730,Hodgkins lymphoma,PHASE_2
ABL1,CHEMBL288441,Autosomal dominant polycystic kidney disease,PHASE_2
ABL1,CHEMBL288441,glioblastoma multiforme,PHASE_2
ABL1,CHEMBL288441,leukemia,PHASE_2
ABL1,CHEMBL288441,Lewy body dementia,PHASE_2
ABL1,CHEMBL4208229,acute promyelocytic leukemia,PHASE_2
ABL1,CHEMBL4297524,Parkinson disease,PHASE_2
ABL1,CHEMBL495727,multiple myeloma,PHASE_2
ABL1,CHEMBL217092,metastatic colorectal cancer,PHASE_2
ABL1,CHEMBL217092,osteosarcoma,PHASE_2
ABL1,CHEMBL217092,rectum cancer,PHASE_2
ABL1,CHEMBL217092,malignant colon neoplasm,PHASE_2
ABL1,CHEMBL217092,colorectal adenocarcinoma,PHASE_2
ABL1,CHEMBL217092,prostate cancer,PHASE_2
ABL1,CHEMBL217092,non-small cell lung carcinoma,PHASE_2
ABL1,CHEMBL217092,melanoma,PHASE_2
ABL1,CHEMBL217092,Thymoma,PHASE_2
ABL1,CHEMBL217092,thymus neoplasm,PHASE_2
ABL1,CHEMBL217092,cancer,PHASE_2
ABL1,CHEMBL217092,Alzheimer disease,PHASE_2
ABL1,CHEMBL217092,lymphangioleiomyomatosis,PHASE_2
ABL1,CHEMBL217092,alcohol drinking,PHASE_2
ABL1,CHEMBL217092,fibrodysplasia ossificans progressiva,PHASE_2
ABL1,CHEMBL206834,bone disease,PHASE_2
ABL1,CHEMBL206834,chronic lymphocytic leukemia,PHASE_2
ABL1,CHEMBL206834,prostate cancer,PHASE_2
ABL1,CHEMBL4130229,Parkinson disease,PHASE_2
ABL1,CHEMBL1946170,colorectal adenocarcinoma,PHASE_2_3
ABL1,CHEMBL1421,obesity,PHASE_2_3
ABL1,CHEMBL1642,malignant peripheral nerve sheath tumor,PHASE_2_3
ABL1,CHEMBL1171837,non-small cell lung carcinoma,PHASE_2_3
ABL1,CHEMBL3948730,diffuse large B-cell lymphoma,PHASE_2_3
ABL1,CHEMBL3948730,chronic lymphocytic leukemia,PHASE_2_3
ABL1,CHEMBL1946170,gastrointestinal stromal tumor,PHASE_3
ABL1,CHEMBL1946170,hepatocellular carcinoma,PHASE_3
ABL1,CHEMBL1946170,malignant colon neoplasm,PHASE_3
ABL1,CHEMBL1946170,esophageal cancer,PHASE_3
ABL1,CHEMBL1421,leukemia,PHASE_3
ABL1,CHEMBL1421,prostate adenocarcinoma,PHASE_3
ABL1,CHEMBL1421,acute myeloid leukemia,PHASE_3
ABL1,CHEMBL1642,leukemia,PHASE_3
ABL1,CHEMBL1642,gastrointestinal stromal tumor,PHASE_3
ABL1,CHEMBL1642,sarcoma,PHASE_3
ABL1,CHEMBL1642,pulmonary arterial hypertension,PHASE_3
ABL1,CHEMBL1642,nephrogenic fibrosing dermopathy,PHASE_3
ABL1,CHEMBL3989869,chronic lymphocytic leukemia,PHASE_3
ABL1,CHEMBL255863,gastrointestinal stromal tumor,PHASE_3
ABL1,CHEMBL255863,myeloid leukemia,PHASE_3
ABL1,CHEMBL255863,leukemia,PHASE_3
ABL1,CHEMBL255863,Alzheimer disease,PHASE_3
ABL1,CHEMBL941,intestinal cancer,PHASE_3
ABL1,CHEMBL941,sarcoma,PHASE_3
ABL1,CHEMBL941,acute lymphoblastic leukemia,PHASE_3
ABL1,CHEMBL941,leukemia,PHASE_3
ABL1,CHEMBL941,myeloid leukemia,PHASE_3
ABL1,CHEMBL941,pulmonary arterial hypertension,PHASE_3
ABL1,CHEMBL941,graft versus host disease,PHASE_3
ABL1,CHEMBL941,stroke,PHASE_3
ABL1,CHEMBL941,COVID-19,PHASE_3
ABL1,CHEMBL1171837,chronic myelogenous leukemia,PHASE_3
ABL1,CHEMBL1171837,acute lymphoblastic leukemia,PHASE_3
ABL1,CHEMBL288441,chronic myelogenous leukemia,PHASE_3
ABL1,CHEMBL4297524,childhood leukemia,PHASE_3
ABL1,CHEMBL4297524,chronic myelogenous leukemia,PHASE_3
ABL1,CHEMBL3545413,chronic myelogenous leukemia,PHASE_3
ABL1,CHEMBL3545413,acute lymphoblastic leukemia,PHASE_3
ABL1,CHEMBL3678958,acute myeloid leukemia,PHASE_3
ABL1,CHEMBL2316582,chronic myelogenous leukemia,PHASE_3
ABL1,CHEMBL2316582,acute lymphoblastic leukemia,PHASE_3
ABL1,CHEMBL2316582,gastrointestinal stromal tumor,PHASE_3
ABL1,CHEMBL5416410,liver disease,UNKNOWN
ABL1,CHEMBL5416410,myelodysplastic syndrome,UNKNOWN
ABL1,CHEMBL5416410,bladder transitional cell carcinoma,UNKNOWN
ABL1,CHEMBL5416410,leukemia,UNKNOWN
ABL1,CHEMBL5416410,gastrointestinal stromal tumor,UNKNOWN
ABL1,CHEMBL5416410,acute myeloid leukemia,UNKNOWN
ABL1,CHEMBL1946170,Neoplasm of the liver,UNKNOWN
ABL1,CHEMBL1946170,liver neoplasm,UNKNOWN
ABL1,CHEMBL2105708,leukemia,UNKNOWN
ABL1,CHEMBL1171837,endometrial neoplasm,UNKNOWN
ABL1,CHEMBL4130229,neurodegenerative disease,UNKNOWN
ABL1,CHEMBL4130229,myeloid leukemia,UNKNOWN
ACACA,CHEMBL4567446,liver disease,PHASE_1
ACACA,CHEMBL3359265,type 2 diabetes mellitus,PHASE_2
ACACA,CHEMBL3359265,acne,PHASE_2
ACACA,CHEMBL3407547,non-alcoholic steatohepatitis,PHASE_2
ACACA,CHEMBL4567446,non-alcoholic steatohepatitis,PHASE_2
ACACA,CHEMBL4567446,non-alcoholic fatty liver disease,PHASE_2
ACACA,CHEMBL3989947,acne,PHASE_3
ACACA,CHEMBL3407547,inborn errors of metabolism,UNKNOWN
ACACB,CHEMBL4567446,liver disease,PHASE_1
ACACB,CHEMBL3359265,type 2 diabetes mellitus,PHASE_2
ACACB,CHEMBL3359265,acne,PHASE_2
ACACB,CHEMBL3407547,non-alcoholic steatohepatitis,PHASE_2
ACACB,CHEMBL4567446,non-alcoholic steatohepatitis,PHASE_2
ACACB,CHEMBL4567446,non-alcoholic fatty liver disease,PHASE_2
ACACB,CHEMBL3989947,acne,PHASE_3
ACACB,CHEMBL3407547,inborn errors of metabolism,UNKNOWN
ACE,CHEMBL1168,stroke,APPROVAL
ACE,CHEMBL1168,myocardial infarction,APPROVAL
ACE,CHEMBL1168,hypertension,APPROVAL
ACE,CHEMBL1168,congestive heart failure,APPROVAL
ACE,CHEMBL1168,heart failure,APPROVAL
ACE,CHEMBL1168,coronary artery disease,APPROVAL
ACE,CHEMBL1168,diabetes mellitus,APPROVAL
ACE,CHEMBL1168,cardiovascular disease,APPROVAL
ACE,CHEMBL419213,hypertension,APPROVAL
ACE,CHEMBL419213,heart failure,APPROVAL
ACE,CHEMBL419213,diabetes mellitus,APPROVAL
ACE,CHEMBL419213,stroke,APPROVAL
ACE,CHEMBL419213,myocardial infarction,APPROVAL
ACE,CHEMBL419213,cardiovascular disease,APPROVAL
